,movie_name,year,time_in_min,genres,rating,votes,grosses
64,Guardians of the Galaxy Vol. 2,2017,136 min,"
Action, Adventure, Comedy            ",7.6,"529,443",$389.81M
65,Blade Runner,1982,117 min,"
Action, Sci-Fi, Thriller            ",8.1,"660,358",$32.87M
66,Spider-Man: Into the Spider-Verse,2018,117 min,"
Animation, Action, Adventure            ",8.4,"304,810",$190.24M
67,Léon,1994,110 min,"
Action, Crime, Drama            ",8.5,"978,884",$19.50M
68,Ocean's Eleven,2001,116 min,"
Crime, Thriller            ",7.8,"491,899",$183.42M
69,The Avengers,2012,143 min,"
Action, Adventure, Sci-Fi            ",8.0,"1,222,554",$623.28M
70,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"
Action, Adventure, Fantasy            ",8.0,"987,490",$305.41M
71,Deadpool,2016,108 min,"
Action, Adventure, Comedy            ",8.0,"863,237",$363.07M
72,Dazed and Confused,1993,102 min,"
Comedy            ",7.6,"155,461",$7.99M
73,The Lion King,1994,88 min,"
Animation, Adventure, Drama            ",8.5,"893,063",$422.78M
74,Bohemian Rhapsody,2018,134 min,"
Biography, Drama, Music            ",8.0,"414,867",$216.43M
75,Apocalypse Now,1979,147 min,"
Drama, Mystery, War            ",8.4,"575,273",$83.47M
76,Star Wars: Episode VII - The Force Awakens,2015,138 min,"
Action, Adventure, Sci-Fi            ",7.9,"830,269",$936.66M
77,Star Wars,1977,121 min,"
Action, Adventure, Fantasy            ",8.6,"1,178,829",$322.74M
78,Avatar,2009,162 min,"
Action, Adventure, Fantasy            ",7.8,"1,082,994",$760.51M
79,The Godfather: Part II,1974,202 min,"
Crime, Drama            ",9.0,"1,065,692",$57.30M
80,No Country for Old Men,2007,122 min,"
Crime, Drama, Thriller            ",8.1,"805,282",$74.28M
81,Tangled,2010,100 min,"
Animation, Adventure, Comedy            ",7.7,"385,824",$200.82M
82,Get Out,2017,104 min,"
Horror, Mystery, Thriller            ",7.7,"450,376",$176.04M
83,Alien,1979,117 min,"
Horror, Sci-Fi            ",8.4,"748,777",$78.90M
84,Back to the Future,1985,116 min,"
Adventure, Comedy, Sci-Fi            ",8.5,"988,249",$210.61M
85,The Princess Bride,1987,98 min,"
Adventure, Family, Fantasy            ",8.1,"374,986",$30.86M
86,Moana,2016,107 min,"
Animation, Adventure, Comedy            ",7.6,"246,689",$248.76M
87,Harry Potter and the Prisoner of Azkaban,2004,142 min,"
Adventure, Family, Fantasy            ",7.9,"516,049",$249.36M
88,The Green Mile,1999,189 min,"
Crime, Drama, Fantasy            ",8.6,"1,077,855",$136.80M
89,Hacksaw Ridge,2016,139 min,"
Biography, Drama, History            ",8.1,"399,468",$67.21M
90,Room,2015,118 min,"
Drama, Thriller            ",8.1,"341,416",$14.68M
91,Zodiac,2007,157 min,"
Crime, Drama, Mystery            ",7.7,"422,699",$33.08M
92,Snatch,2000,104 min,"
Comedy, Crime            ",8.3,"749,145",$30.33M
93,Casino Royale,2006,144 min,"
Action, Adventure, Thriller            ",8.0,"558,935",$167.45M
94,The Big Lebowski,1998,117 min,"
Comedy, Crime, Sport            ",8.1,"693,364",$17.50M
95,Her,2013,126 min,"
Drama, Romance, Sci-Fi            ",8.0,"504,371",$25.57M
96,The Peanut Butter Falcon,2019,97 min,"
Adventure, Comedy, Drama            ",7.7,"37,162",$13.12M
97,American Beauty,1999,122 min,"
Drama            ",8.3,"1,027,516",$130.10M
98,Shaun of the Dead,2004,99 min,"
Comedy, Horror            ",7.9,"491,276",$13.54M
99,Iron Man,2008,126 min,"
Action, Adventure, Sci-Fi            ",7.9,"902,510",$318.41M
100,Whiplash,2014,106 min,"
Drama, Music            ",8.5,"664,178",$13.09M
101,The Big Short,2015,130 min,"
Biography, Comedy, Drama            ",7.8,"333,718",$70.26M
102,The Lord of the Rings: The Two Towers,2002,179 min,"
Adventure, Drama, Fantasy            ",8.7,"1,415,964",$342.55M
103,The Usual Suspects,1995,106 min,"
Crime, Mystery, Thriller            ",8.5,"945,602",$23.34M
104,Memento,2000,113 min,"
Mystery, Thriller            ",8.4,"1,072,029",$25.54M
105,Eternal Sunshine of the Spotless Mind,2004,108 min,"
Drama, Romance, Sci-Fi            ",8.3,"864,050",$34.40M
106,Rogue One,2016,133 min,"
Action, Adventure, Sci-Fi            ",7.8,"522,965",$532.18M
107,Cast Away,2000,143 min,"
Adventure, Drama, Romance            ",7.8,"495,424",$233.63M
108,Ex Machina,2014,108 min,"
Drama, Mystery, Sci-Fi            ",7.7,"447,509",$25.44M
109,Taxi Driver,1976,114 min,"
Crime, Drama            ",8.3,"680,416",$28.26M
110,The Martian,2015,144 min,"
Adventure, Drama, Sci-Fi            ",8.0,"719,894",$228.43M
111,The Revenant,2015,156 min,"
Action, Adventure, Biography            ",8.0,"663,615",$183.64M
112,Jurassic Park,1993,127 min,"
Action, Adventure, Sci-Fi            ",8.1,"819,956",$402.45M
113,Raiders of the Lost Ark,1981,115 min,"
Action, Adventure            ",8.4,"845,563",$248.16M
114,Deadpool 2,2018,119 min,"
Action, Adventure, Comedy            ",7.7,"441,443",$324.59M
115,The Hateful Eight,2015,168 min,"
Crime, Drama, Mystery            ",7.8,"480,949",$54.12M
116,The Sound of Music,1965,172 min,"
Biography, Drama, Family            ",8.0,"193,674",$163.21M
117,Logan,2017,137 min,"
Action, Drama, Sci-Fi            ",8.1,"605,726",$226.28M
118,"Three Billboards Outside Ebbing, Missouri",2017,115 min,"
Comedy, Crime, Drama            ",8.2,"388,896",$54.51M
119,Zootopia,2016,108 min,"
Animation, Adventure, Comedy            ",8.0,"407,883",$341.27M
120,Catch Me If You Can,2002,141 min,"
Biography, Crime, Drama            ",8.1,"769,658",$164.62M
121,The Grand Budapest Hotel,2014,99 min,"
Adventure, Comedy, Crime            ",8.1,"667,064",$59.10M
122,12 Angry Men,1957,96 min,"
Drama            ",8.9,"645,063",$4.36M
123,Requiem for a Dream,2000,102 min,"
Drama            ",8.3,"730,701",$3.64M
124,Edge of Tomorrow,2014,113 min,"
Action, Sci-Fi            ",7.9,"571,935",$100.21M
125,Scarface,1983,170 min,"
Crime, Drama            ",8.3,"699,760",$45.60M
126,The Favourite,2018,119 min,"
Biography, Comedy, Drama            ",7.6,"152,264",$34.37M
127,The Help,2011,146 min,"
Drama            ",8.1,"407,450",$169.71M
128,The Pianist,2002,150 min,"
Biography, Drama, Music            ",8.5,"683,938",$32.57M
129,The Two Popes,2019,125 min,"
Comedy, Drama            ",7.6,"83,541",-
130,Batman Begins,2005,140 min,"
Action, Adventure            ",8.2,"1,248,820",$206.85M
131,Ferris Bueller's Day Off,1986,103 min,"
Comedy            ",7.8,"302,915",$70.14M
132,Stand by Me,1986,89 min,"
Adventure, Drama            ",8.1,"347,074",$52.29M
133,The Terminator,1984,107 min,"
Action, Sci-Fi            ",8.0,"767,064",$38.40M
134,Watchmen,2009,162 min,"
Action, Drama, Mystery            ",7.6,"481,482",$107.51M
